year;country;ocean;school_type;parameter_a;parameter_b;null_set_value
2005;FRA;2;3;0.488;117.164;91.5
2006;FRA;2;3;0.488;117.164;91.5
2007;FRA;2;3;0.488;117.164;91.5
2008;FRA;2;3;0.488;117.164;91.5
2009;FRA;2;3;0.488;117.164;91.5
2010;FRA;2;3;0.488;117.164;91.5
2011;FRA;2;3;0.488;117.164;91.5
2012;FRA;2;3;0.488;117.164;91.5
2013;FRA;2;3;0.488;117.164;91.5
2014;FRA;2;3;0.488;117.164;91.5
2015;FRA;2;3;0.488;117.164;91.5
2016;FRA;2;3;0.488;117.164;91.5
2017;FRA;2;3;0.488;117.164;91.5
2018;FRA;2;3;0.488;117.164;91.5
2019;FRA;2;3;0.488;117.164;91.5
2020;FRA;2;3;0.488;117.164;91.5
2021;FRA;2;3;0.56406;141.223;133.1
2022;FRA;2;3;0.56406;141.223;133.1
2015;KOR;1;1;0.966;137.03;103
2016;KOR;1;1;0.966;137.03;103
2015;KOR;1;2;0.966;137.03;108
2016;KOR;1;2;0.966;137.03;108
2015;KOR;1;3;0.966;137.03;108
2016;KOR;1;3;0.966;137.03;108
2014;KOR;2;1;0.33235;127.1;120
2015;KOR;2;1;0.33235;127.1;120
2016;KOR;2;1;0.33235;127.1;120
2017;KOR;2;1;0.33235;127.1;120
2018;KOR;2;1;0.33235;127.1;120
2019;KOR;2;1;0.33235;127.1;120
2020;KOR;2;1;0.33235;127.1;120
2021;KOR;2;1;0.33235;127.1;120
2022;KOR;2;1;0.33235;127.1;120
2014;KOR;2;2;0.33235;127.1;120
2015;KOR;2;2;0.33235;127.1;120
2016;KOR;2;2;0.33235;127.1;120
2017;KOR;2;2;0.33235;127.1;120
2018;KOR;2;2;0.33235;127.1;120
2019;KOR;2;2;0.33235;127.1;120
2020;KOR;2;2;0.33235;127.1;120
2021;KOR;2;2;0.33235;127.1;120
2022;KOR;2;2;0.33235;127.1;120
2014;KOR;2;3;0.33235;127.1;120
2015;KOR;2;3;0.33235;127.1;120
2016;KOR;2;3;0.33235;127.1;120
2017;KOR;2;3;0.33235;127.1;120
2018;KOR;2;3;0.33235;127.1;120
2019;KOR;2;3;0.33235;127.1;120
2020;KOR;2;3;0.33235;127.1;120
2021;KOR;2;3;0.33235;127.1;120
2022;KOR;2;3;0.33235;127.1;120
2006;MYT;1;1;0.966;137.03;103
2007;MYT;1;1;0.966;137.03;103
2008;MYT;1;1;0.966;137.03;103
2009;MYT;1;1;0.966;137.03;103
2006;MYT;1;2;0.966;137.03;108
2007;MYT;1;2;0.966;137.03;108
2008;MYT;1;2;0.966;137.03;108
2009;MYT;1;2;0.966;137.03;108
2006;MYT;1;3;0.966;137.03;108
2007;MYT;1;3;0.966;137.03;108
2008;MYT;1;3;0.966;137.03;108
2009;MYT;1;3;0.966;137.03;108
2006;MYT;2;1;0.488;117.164;110
2007;MYT;2;1;0.488;117.164;110
2008;MYT;2;1;0.488;117.164;110
2009;MYT;2;1;0.488;117.164;110
2006;MYT;2;2;0.488;117.164;91.5
2007;MYT;2;2;0.488;117.164;91.5
2008;MYT;2;2;0.488;117.164;91.5
2009;MYT;2;2;0.488;117.164;91.5
2006;MYT;2;3;0.488;117.164;91.5
2007;MYT;2;3;0.488;117.164;91.5
2008;MYT;2;3;0.488;117.164;91.5
2009;MYT;2;3;0.488;117.164;91.5
2015;SEN;1;1;0.966;137.03;103
2016;SEN;1;1;0.966;137.03;103
2017;SEN;1;1;0.599;122.716;109
2018;SEN;1;1;0.599;122.716;109
2019;SEN;1;1;0.599;122.716;109
2020;SEN;1;1;0.599;122.716;109
2021;SEN;1;1;0.599;122.716;109
2022;SEN;1;1;0.599;122.716;109
2015;SEN;1;2;0.966;137.03;108
2016;SEN;1;2;0.966;137.03;108
2017;SEN;1;2;0.599;122.716;109
2018;SEN;1;2;0.599;122.716;109
2019;SEN;1;2;0.599;122.716;109
2020;SEN;1;2;0.599;122.716;109
2021;SEN;1;2;0.599;122.716;109
2022;SEN;1;2;0.599;122.716;109
2015;SEN;1;3;0.966;137.03;108
2016;SEN;1;3;0.966;137.03;108
2017;SEN;1;3;0.599;122.716;109
2018;SEN;1;3;0.599;122.716;109
2019;SEN;1;3;0.599;122.716;109
2020;SEN;1;3;0.599;122.716;109
2021;SEN;1;3;0.599;122.716;109
2022;SEN;1;3;0.599;122.716;109
2014;SYC;2;1;0.33235;127.1;120
2015;SYC;2;1;0.33235;127.1;120
2016;SYC;2;1;0.33235;127.1;120
2017;SYC;2;1;0.33235;127.1;120
2018;SYC;2;1;0.33235;127.1;120
2019;SYC;2;1;0.33235;127.1;120
2020;SYC;2;1;0.33235;127.1;120
2021;SYC;2;1;0.33235;127.1;120
2022;SYC;2;1;0.33235;127.1;120
2014;SYC;2;2;0.33235;127.1;120
2015;SYC;2;2;0.33235;127.1;120
2016;SYC;2;2;0.33235;127.1;120
2017;SYC;2;2;0.33235;127.1;120
