ocean_code;species_code;species_fao_code;ld1_class;lf_class;ratio
1;3;BET;45.0;158;13
1;3;BET;45.0;160;9
1;3;BET;45.0;162;6
1;3;BET;45.0;164;2
1;3;BET;45.5;146;1
1;3;BET;45.5;148;4
1;3;BET;45.5;150;8
1;3;BET;45.5;152;11
1;3;BET;45.5;154;14
1;3;BET;45.5;156;17
1;3;BET;45.5;158;15
1;3;BET;45.5;160;13
1;3;BET;45.5;162;9
1;3;BET;45.5;164;6
1;3;BET;45.5;166;2
1;3;BET;46.0;148;1
1;3;BET;46.0;150;4
1;3;BET;46.0;152;8
1;3;BET;46.0;154;11
1;3;BET;46.0;156;14
1;3;BET;46.0;158;17
1;3;BET;46.0;160;15
1;3;BET;46.0;162;13
1;3;BET;46.0;164;9
1;3;BET;46.0;166;6
1;3;BET;46.0;168;2
1;3;BET;46.5;150;1
1;3;BET;46.5;152;5
1;3;BET;46.5;154;8
1;3;BET;46.5;156;11
1;3;BET;46.5;158;14
1;3;BET;46.5;160;16
1;3;BET;46.5;162;15
1;3;BET;46.5;164;13
1;3;BET;46.5;166;9
1;3;BET;46.5;168;6
1;3;BET;46.5;170;2
1;3;BET;47.0;154;5
1;3;BET;47.0;156;8
1;3;BET;47.0;158;11
1;3;BET;47.0;160;14
1;3;BET;47.0;162;16
1;3;BET;47.0;164;15
1;3;BET;47.0;166;13
1;3;BET;47.0;168;9
1;3;BET;47.0;170;6
1;3;BET;47.0;172;3
1;3;BET;47.5;156;5
1;3;BET;47.5;158;8
1;3;BET;47.5;160;11
1;3;BET;47.5;162;14
1;3;BET;47.5;164;14
1;3;BET;47.5;166;15
1;3;BET;47.5;168;13
1;3;BET;47.5;170;10
1;3;BET;47.5;172;6
1;3;BET;47.5;174;4
1;3;BET;48.0;158;5
1;3;BET;48.0;160;8
1;3;BET;48.0;162;11
1;3;BET;48.0;164;14
1;3;BET;48.0;166;14
1;3;BET;48.0;168;15
1;3;BET;48.0;170;13
1;3;BET;48.0;172;10
1;3;BET;48.0;174;6
1;3;BET;48.0;176;4
1;3;BET;48.5;160;5
1;3;BET;48.5;162;8
1;3;BET;48.5;164;11
1;3;BET;48.5;166;14
1;3;BET;48.5;168;14
1;3;BET;48.5;170;14
1;3;BET;48.5;172;13
1;3;BET;48.5;174;10
1;3;BET;48.5;176;7
1;3;BET;48.5;178;4
1;3;BET;49.0;162;5
1;3;BET;49.0;164;8
1;3;BET;49.0;166;11
1;3;BET;49.0;168;14
1;3;BET;49.0;170;14
1;3;BET;49.0;172;14
1;3;BET;49.0;174;13
1;3;BET;49.0;176;10
1;3;BET;49.0;178;7
1;3;BET;49.0;180;4
1;3;BET;49.5;164;5
1;3;BET;49.5;166;8
1;3;BET;49.5;168;11
1;3;BET;49.5;170;13
1;3;BET;49.5;172;14
1;3;BET;49.5;174;15
1;3;BET;49.5;176;13
1;3;BET;49.5;178;10
1;3;BET;49.5;180;7
1;3;BET;49.5;182;4
1;3;BET;50.0;166;5
1;3;BET;50.0;168;7
1;3;BET;50.0;170;11
1;3;BET;50.0;172;13
1;3;BET;50.0;174;15
1;3;BET;50.0;176;15
1;3;BET;50.0;178;13
1;3;BET;50.0;180;10
1;3;BET;50.0;182;7
1;3;BET;50.0;184;4
1;3;BET;50.5;168;5
1;3;BET;50.5;170;7
1;3;BET;50.5;172;10
1;3;BET;50.5;174;13
1;3;BET;50.5;176;15
1;3;BET;50.5;178;15
1;3;BET;50.5;180;13
1;3;BET;50.5;182;10
1;3;BET;50.5;184;7
1;3;BET;50.5;186;5
1;3;BET;51.0;170;5
1;3;BET;51.0;172;7
1;3;BET;51.0;174;10
1;3;BET;51.0;176;13
1;3;BET;51.0;178;15
1;3;BET;51.0;180;15
1;3;BET;51.0;182;13
1;3;BET;51.0;184;10
1;3;BET;51.0;186;7
1;3;BET;51.0;188;5
1;3;BET;51.5;172;5
1;3;BET;51.5;174;7
1;3;BET;51.5;176;10
1;3;BET;51.5;178;13
1;3;BET;51.5;180;15
1;3;BET;51.5;182;14
1;3;BET;51.5;184;13
1;3;BET;51.5;186;10
1;3;BET;51.5;188;8
1;3;BET;51.5;190;5
1;3;BET;52.0;174;5
1;3;BET;52.0;176;7
1;3;BET;52.0;178;10
1;3;BET;52.0;180;13
1;3;BET;52.0;182;14
1;3;BET;52.0;184;14
1;3;BET;52.0;186;13
1;3;BET;52.0;188;11
1;3;BET;52.0;190;8
1;3;BET;52.0;192;5
1;3;BET;52.5;174;5
